Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_TestListener,Chrome 121.0.0.0,,,07-02-2024 15:35:16,07-02-2024 15:35:34,18.589s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 121.0.0.0,,,07-02-2024 15:35:16,07-02-2024 15:35:34,17.994s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 15:35:17,07-02-2024 15:35:21,4.754s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 15:35:22,07-02-2024 15:35:23,1.367s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 15:35:23,07-02-2024 15:35:25,1.725s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Chrome 121.0.0.0,,,07-02-2024 15:35:25,07-02-2024 15:35:27,2.310s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_email""), userame)",Chrome 121.0.0.0,,,07-02-2024 15:35:27,07-02-2024 15:35:29,1.840s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 15:35:29,07-02-2024 15:35:30,1.469s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_password""), Password)",Chrome 121.0.0.0,,,07-02-2024 15:35:30,07-02-2024 15:35:33,2.637s,PASSED
"click(findTestObject(""Amazon_Button_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 15:35:33,07-02-2024 15:35:34,1.100s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 15:35:34,07-02-2024 15:35:34,0.396s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 15:35:34,07-02-2024 15:35:34,0.008s,PASSED
